Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Poire belle hélène,poire belle hélène,55.74668,hélène,38.10443,marie hélène,32.26541
Poireau,poireau,33.410805,poireau d’ été,33.410805,poireaux,33.410805
Pois,pois,13.512022,bois de pois,13.093004,poison,12.644613
Pois d'hiver,hiver,23.89452,l’hiver,23.89452,d’hiver,23.89452
Pois de printemps,printemps,40.484776,de printemps,40.484776,le printemps,40.484776
Poisson (pêche),poisson pêcheur,36.719166,poissons pêcheurs,33.604393,pêche,26.153309
Poisson,poisson,23.218525,poisson lune,21.897598,poissons,21.897598
Poivron,poivron,37.032806,poivrons,35.039375,poivrot,33.34526
Polaire,polaire,29.574415,apolaire,27.982462,polaires,27.982462
Polo,polo,15.06558,polos,14.098442,sampolo,12.494291
Pomme,ma pomme,23.792429,pomme,23.792429,une pomme,23.792429
Pomme à cidre,pomme à cidre,44.175846,pommes à cidre,44.175846,pommier à cidre,34.183266
Pomme de table,pomme de table,38.407204,l homme au sable,23.831156,ma pomme,23.792429
Pomme de terre,pomme de terre,35.71388,pommes de terre,35.71388,pain de pommes de terre,32.242718
Pomme de terre de consommation destinée à l’industrie,consommation,46.917908,consommations,45.807182,non consommation,44.92796
Pomme de terre destinée au marché du frais,pomme de terre,35.71388,pommes de terre,35.71388,pain de pommes de terre,32.242718
Pomme de terre fécule,pomme de terre,35.71388,pommes de terre,35.71388,pain de pommes de terre,32.242718
Pomme non tolérante à la tavelure,tavelure,43.432205,tavelures,41.213722,tolérante,38.9199
Pomme tolérante à la tavelure,tavelure,43.432205,tavelures,41.213722,tolérante,38.9199
Pommes de terre,pomme de terre,35.71388,pommes de terre,35.71388,pain de pommes de terre,32.242718
Pommes de terre au confit de canard,pomme de terre,35.71388,pommes de terre,35.71388,pain de pommes de terre,32.242718
Pompe de piscine,piscine,33.86663,piscines,32.043633,piscina,29.015053
Ponçage du cuir,ponçage,39.62951,ponçages,37.496304,fonçage,33.207825
Porc,porc,17.112057,porcs,16.013544,queue de porc,16.013544
Porte-conteneurs,porte conteneurs,48.023685,porte conteneur,45.079254,conteneurs,37.888474
Pot au feu,pot au feu,18.203936,pot à feu,18.203936,pots au feu,17.035328
Poule de réforme,réforme,35.017353,réformes,35.017353,préforme,33.132416
Poule de reforme,reforme,33.00177,reformes,33.00177,reformez,31.225328
Poulet de chair,chair de poule,33.97278,la chair de poule,33.97278,avoir la chair de poule,29.249413
Poulet entier,mon poulet,26.429243,poulet,26.429243,poulets,24.925657
Poulet frites,moules frites,29.618843,mon poulet,26.429243,poulet,26.429243
Poutrelle en béton,poutrelles,36.114914,poutrelle,36.114914,putrelle,26.657045
PP - polypropylène,polypropylène,71.528625,polypropylènes,68.61829,propylène,55.788383
Prairies,prairies,32.527473,lys des prairies,30.866,loup des prairies,29.366007
Produits anti-mousse,anti produits,47.012157,sous produits,43.70417,produits,43.32403
Produits de traitement de la vapeur d'eau,produits,43.32403,co produits,43.32403,produits de beauté,40.666576
Profiteroles,profiterole,47.923035,profiteroles,47.923035,profiter,38.991592
Propane,propane,32.875256,propanes,31.105625,propan 1 ol,27.602509
